run_accession	sample_accession	experiment_accession	study_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp	bam_ftp
ERR9769234	SAMEA14431114	ERX9317430	PRJEB52999	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR976/004/ERR9769234/ERR9769234_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR976/004/ERR9769234/ERR9769234_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR976/ERR9769234/4775_A_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR976/ERR9769234/4775_A_R2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR976/004/ERR9769234.bam
ERR9769238	SAMEA14431118	ERX9317434	PRJEB52999	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR976/008/ERR9769238/ERR9769238_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR976/008/ERR9769238/ERR9769238_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR976/ERR9769238/4775_X_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR976/ERR9769238/4775_X_R2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR976/008/ERR9769238.bam
ERR9769244	SAMEA14431124	ERX9317440	PRJEB52999	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR976/004/ERR9769244/ERR9769244_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR976/004/ERR9769244/ERR9769244_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR976/ERR9769244/4775_G_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR976/ERR9769244/4775_G_R2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR976/004/ERR9769244.bam
ERR9769250	SAMEA14431130	ERX9317446	PRJEB52999	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR976/000/ERR9769250/ERR9769250_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR976/000/ERR9769250/ERR9769250_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR976/ERR9769250/4775_K_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR976/ERR9769250/4775_K_R2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR976/000/ERR9769250.bam
ERR9769252	SAMEA14431132	ERX9317448	PRJEB52999	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR976/002/ERR9769252/ERR9769252_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR976/002/ERR9769252/ERR9769252_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR976/ERR9769252/4775_M_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR976/ERR9769252/4775_M_R2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR976/002/ERR9769252.bam
ERR9769253	SAMEA14431133	ERX9317449	PRJEB52999	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR976/003/ERR9769253/ERR9769253_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR976/003/ERR9769253/ERR9769253_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR976/ERR9769253/4775_N_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR976/ERR9769253/4775_N_R2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR976/003/ERR9769253.bam
ERR9769260	SAMEA14431140	ERX9317456	PRJEB52999	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR976/000/ERR9769260/ERR9769260_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR976/000/ERR9769260/ERR9769260_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR976/ERR9769260/4775_U_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR976/ERR9769260/4775_U_R2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR976/000/ERR9769260.bam
ERR9769261	SAMEA14431141	ERX9317457	PRJEB52999	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR976/001/ERR9769261/ERR9769261_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR976/001/ERR9769261/ERR9769261_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR976/ERR9769261/4775_V_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR976/ERR9769261/4775_V_R2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR976/001/ERR9769261.bam
ERR9769263	SAMEA14431143	ERX9317459	PRJEB52999	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR976/003/ERR9769263/ERR9769263_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR976/003/ERR9769263/ERR9769263_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR976/ERR9769263/4775_AD_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR976/ERR9769263/4775_AD_R2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR976/003/ERR9769263.bam
ERR9769275	SAMEA14431080	ERX9317471	PRJEB52999	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR976/005/ERR9769275/ERR9769275.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR976/ERR9769275/4678_A_CCS.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR976/005/ERR9769275.bam
ERR9769278	SAMEA14431083	ERX9317474	PRJEB52999	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR976/008/ERR9769278/ERR9769278.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR976/ERR9769278/4678_D_CCS.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR976/008/ERR9769278.bam
ERR9769287	SAMEA14431092	ERX9317483	PRJEB52999	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR976/007/ERR9769287/ERR9769287.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR976/ERR9769287/4678_AI_CCS.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR976/007/ERR9769287.bam
ERR9769289	SAMEA14431094	ERX9317485	PRJEB52999	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR976/009/ERR9769289/ERR9769289.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR976/ERR9769289/4678_O_CCS.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR976/009/ERR9769289.bam
ERR9769294	SAMEA14431099	ERX9317490	PRJEB52999	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR976/004/ERR9769294/ERR9769294.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR976/ERR9769294/4678_T_CCS.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR976/004/ERR9769294.bam
ERR9769296	SAMEA14431101	ERX9317492	PRJEB52999	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR976/006/ERR9769296/ERR9769296.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR976/ERR9769296/4678_V_CCS.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR976/006/ERR9769296.bam
ERR9769297	SAMEA14431102	ERX9317493	PRJEB52999	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR976/007/ERR9769297/ERR9769297.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR976/ERR9769297/4678_W_CCS.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR976/007/ERR9769297.bam
ERR9769299	SAMEA14431104	ERX9317495	PRJEB52999	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR976/009/ERR9769299/ERR9769299.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR976/ERR9769299/4678_Y_CCS.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR976/009/ERR9769299.bam
ERR9769301	SAMEA14431106	ERX9317497	PRJEB52999	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR976/001/ERR9769301/ERR9769301.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR976/ERR9769301/4678_AA_CCS.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR976/001/ERR9769301.bam
ERR9769377	SAMEA14431112	ERX9317573	PRJEB52999	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR976/007/ERR9769377/ERR9769377_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR976/007/ERR9769377/ERR9769377_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR976/ERR9769377/4712_C_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR976/ERR9769377/4712_C_R2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR976/007/ERR9769377.bam
