run_accession	sample_accession	experiment_accession	study_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp	bam_ftp
SRR16955689	SAMN23169407	SRX13147255	PRJNA778418	1154581	food fermentation metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR169/089/SRR16955689/SRR16955689_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR169/089/SRR16955689/SRR16955689_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR169/089/SRR16955689	
SRR16955691	SAMN23169388	SRX13147253	PRJNA778418	1154581	food fermentation metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR169/091/SRR16955691/SRR16955691_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR169/091/SRR16955691/SRR16955691_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR169/091/SRR16955691	
SRR16955672	SAMN23169423	SRX13147272	PRJNA778418	1154581	food fermentation metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR169/072/SRR16955672/SRR16955672_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR169/072/SRR16955672/SRR16955672_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR169/072/SRR16955672	
SRR16955698	SAMN23169399	SRX13147246	PRJNA778418	1154581	food fermentation metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR169/098/SRR16955698/SRR16955698_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR169/098/SRR16955698/SRR16955698_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR169/098/SRR16955698	
SRR16955700	SAMN23169397	SRX13147244	PRJNA778418	1154581	food fermentation metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR169/000/SRR16955700/SRR16955700_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR169/000/SRR16955700/SRR16955700_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR169/000/SRR16955700	
SRR16955675	SAMN23169420	SRX13147269	PRJNA778418	1154581	food fermentation metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR169/075/SRR16955675/SRR16955675_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR169/075/SRR16955675/SRR16955675_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR169/075/SRR16955675	
SRR16955701	SAMN23169396	SRX13147243	PRJNA778418	1154581	food fermentation metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR169/001/SRR16955701/SRR16955701_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR169/001/SRR16955701/SRR16955701_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR169/001/SRR16955701	
SRR17128800	SAMN23169424	SRX13313327	PRJNA778418	1154581	food fermentation metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/000/SRR17128800/SRR17128800_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/000/SRR17128800/SRR17128800_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR171/000/SRR17128800	
SRR16955678	SAMN23169417	SRX13147266	PRJNA778418	1154581	food fermentation metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR169/078/SRR16955678/SRR16955678_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR169/078/SRR16955678/SRR16955678_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR169/078/SRR16955678	
SRR17128801	SAMN23169423	SRX13313326	PRJNA778418	1154581	food fermentation metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/001/SRR17128801/SRR17128801_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/001/SRR17128801/SRR17128801_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR171/001/SRR17128801	
SRR16955682	SAMN23169414	SRX13147262	PRJNA778418	1154581	food fermentation metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR169/082/SRR16955682/SRR16955682_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR169/082/SRR16955682/SRR16955682_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR169/082/SRR16955682	
