run_accession	sample_accession	experiment_accession	study_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp	bam_ftp
SRR11674012	SAMN14825711	SRX8234930	PRJNA629478	942017	activated sludge metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/012/SRR11674012/SRR11674012_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/012/SRR11674012/SRR11674012_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR116/012/SRR11674012	
SRR11674015	SAMN14825708	SRX8234927	PRJNA629478	942017	activated sludge metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/015/SRR11674015/SRR11674015_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/015/SRR11674015/SRR11674015_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR116/015/SRR11674015	
SRR11674019	SAMN14825704	SRX8234923	PRJNA629478	942017	activated sludge metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/019/SRR11674019/SRR11674019_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/019/SRR11674019/SRR11674019_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR116/019/SRR11674019	
SRR11674020	SAMN14825668	SRX8234922	PRJNA629478	942017	activated sludge metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/020/SRR11674020/SRR11674020_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/020/SRR11674020/SRR11674020_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR116/020/SRR11674020	
SRR11674025	SAMN14825699	SRX8234917	PRJNA629478	942017	activated sludge metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/025/SRR11674025/SRR11674025_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/025/SRR11674025/SRR11674025_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR116/025/SRR11674025	
SRR11674029	SAMN14825665	SRX8234913	PRJNA629478	942017	activated sludge metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/029/SRR11674029/SRR11674029_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/029/SRR11674029/SRR11674029_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR116/029/SRR11674029	
SRR11674035	SAMN14825693	SRX8234907	PRJNA629478	942017	activated sludge metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/035/SRR11674035/SRR11674035_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/035/SRR11674035/SRR11674035_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR116/035/SRR11674035	
SRR11674037	SAMN14825691	SRX8234905	PRJNA629478	942017	activated sludge metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/037/SRR11674037/SRR11674037_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/037/SRR11674037/SRR11674037_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR116/037/SRR11674037	
SRR11674041	SAMN14825687	SRX8234901	PRJNA629478	942017	activated sludge metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/041/SRR11674041/SRR11674041_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/041/SRR11674041/SRR11674041_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR116/041/SRR11674041	
SRR11674044	SAMN14825684	SRX8234898	PRJNA629478	942017	activated sludge metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/044/SRR11674044/SRR11674044_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/044/SRR11674044/SRR11674044_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR116/044/SRR11674044	
SRR11674046	SAMN14825683	SRX8234896	PRJNA629478	942017	activated sludge metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/046/SRR11674046/SRR11674046_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/046/SRR11674046/SRR11674046_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR116/046/SRR11674046	
SRR11674047	SAMN14825682	SRX8234895	PRJNA629478	942017	activated sludge metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/047/SRR11674047/SRR11674047_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/047/SRR11674047/SRR11674047_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR116/047/SRR11674047	
SRR11674049	SAMN14825680	SRX8234893	PRJNA629478	942017	activated sludge metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/049/SRR11674049/SRR11674049_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/049/SRR11674049/SRR11674049_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR116/049/SRR11674049	
SRR11674050	SAMN14825679	SRX8234892	PRJNA629478	942017	activated sludge metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/050/SRR11674050/SRR11674050_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/050/SRR11674050/SRR11674050_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR116/050/SRR11674050	
