run_accession	sample_accession	experiment_accession	study_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp	bam_ftp
SRR18491195	SAMN26980257	SRX14622532	PRJNA820119	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR184/095/SRR18491195/SRR18491195_1.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR184/095/SRR18491195	
SRR18491208	SAMN26980245	SRX14622519	PRJNA820119	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR184/008/SRR18491208/SRR18491208_1.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR184/008/SRR18491208	
SRR18491217	SAMN26980238	SRX14622510	PRJNA820119	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR184/017/SRR18491217/SRR18491217_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR184/017/SRR18491217/SRR18491217_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR184/017/SRR18491217	
SRR18491220	SAMN26980235	SRX14622507	PRJNA820119	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR184/020/SRR18491220/SRR18491220_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR184/020/SRR18491220/SRR18491220_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR184/020/SRR18491220	
SRR18491225	SAMN26980231	SRX14622502	PRJNA820119	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR184/025/SRR18491225/SRR18491225_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR184/025/SRR18491225/SRR18491225_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR184/025/SRR18491225	
SRR18491229	SAMN26980227	SRX14622498	PRJNA820119	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR184/029/SRR18491229/SRR18491229_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR184/029/SRR18491229/SRR18491229_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR184/029/SRR18491229	
SRR18491232	SAMN26980063	SRX14622495	PRJNA820119	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR184/032/SRR18491232/SRR18491232_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR184/032/SRR18491232/SRR18491232_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR184/032/SRR18491232	
SRR18491234	SAMN26980223	SRX14622493	PRJNA820119	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR184/034/SRR18491234/SRR18491234_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR184/034/SRR18491234/SRR18491234_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR184/034/SRR18491234	
SRR18491235	SAMN26980144	SRX14622892	PRJNA820119	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR184/035/SRR18491235/SRR18491235_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR184/035/SRR18491235/SRR18491235_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR184/035/SRR18491235	
SRR18491241	SAMN26980139	SRX14622887	PRJNA820119	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR184/041/SRR18491241/SRR18491241_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR184/041/SRR18491241/SRR18491241_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR184/041/SRR18491241	
SRR18491242	SAMN26980138	SRX14622886	PRJNA820119	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR184/042/SRR18491242/SRR18491242_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR184/042/SRR18491242/SRR18491242_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR184/042/SRR18491242	
SRR18491243	SAMN26980137	SRX14622885	PRJNA820119	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR184/043/SRR18491243/SRR18491243_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR184/043/SRR18491243/SRR18491243_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR184/043/SRR18491243	
